"Program","CardName","Issuer","Link","IntroOffer","Cash","Points","Nights","Credit","FeeWaived1stYr","Fee","Spend","img","Rate","Value"
"Citi ThankYou Points","EXPEDIA + CARD from Citi","Citi","https://www.citi.com/credit-cards/credit-card-details/citi.action?ID=expedia-plus&category=view-all-credit-cards&afc=1C2&intc=7~7~67~1~MCT~1~expedia-plus~4WCIE95711C2L10201W","Earn 15,000 Expedia+ bonus points  after $1,000 in purchases within 3 months of account opening",0,15000,0,0,0,0,1000,"https://www.citi.com/CRD/images/card_no_reflection/expedia-plus.jpg",0.016,240
"Club Carlson","Club Carlson Premier Rewards Visa Signature Card","US","https://www.usbank.com/credit-cards/club-carlson-premier-rewards-visa-signature-credit-card.html","Earn 85,000 Bonus Gold Points after you spend $2,500 on your card in the first 90 days",0,85000,0,0,0,75,2500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?1484",0.004,265
"Club Carlson","Club Carlson Rewards Visa Signature Card","US","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-signature-credit-card.html","Earn 60,000 Bonus Gold Points after you spend $1,500 on your card in the first 90 days",0,60000,0,0,0,50,1500,"https://www.usbank.com//images/Credit_Cards_110x170/card_credit_110_70_CC_sig.png?489",0.004,190
"Club Carlson","Club Carlson Rewards Visa Card","US","https://www.usbank.com/credit-cards/club-carlson-rewards-visa-credit-card.html","Earn 30,000 Bonus Gold Points after you spend $1,000 on your card in the first 90 days",0,30000,0,0,0,0,1000,"https://www.usbank.com//images/Credit_Cards_110x170/club_carlson_rewards_visa_card.png?1484",0.004,120
"Delta","Gold Delta SkyMiles Business Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/gold-delta-skymiles-business-credit-card/44281?linknav=us-acq-open-aj-allcards-golddelta-lm","Earn 60,000 bonus miles after you make $4,000 in purchases on your new Card within your first 4 months† and a $50 statement credit after you make a Delta purchase with your new Card within your first 4 months.† Offer ends 7/05/2017.",0,60000,0,50,1,95,4000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-113.png?version=8",0.012,770
"Delta","Delta Reserve for Business Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/delta-reserve-business-credit-card/44281?linknav=us-acq-open-aj-allcards-deltareserve-lm","Earn 10,000 Medallion® Qualification Miles (MQMs) and 10,000 bonus miles after your first purchase on the Card.†",0,10000,0,0,0,450,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-756.png?version=8",0.012,-330
"Delta","Platinum Delta SkyMiles Credit Card","Amex","https://www.americanexpress.com/us/credit-cards/card/platinum-delta-skymiles/","Limited Time OfferEarn 70,000 Bonus Milesand 10,000 Medallion® Qualification Miles (MQMs) after you spend $4,000 in purchases on your new Card in your first 4 months. In addition, earn a $100 statement credit after you make a Delta purchase with your new Card within your first 4 months. Special Offer Expires on 7/5/2017.†",0,70000,0,100,0,195,4000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/platinum-delta-skymiles.png",0.012,745
"Delta","Gold Delta SkyMiles Credit Card","Amex","https://www.americanexpress.com/us/credit-cards/card/delta-skymiles/","Limited Time OfferEarn 60,000 Bonus Milesafter you spend $3,000 in purchases on your new Card within your first 4 months and a $50 statement credit after you make a Delta purchase with your new Card within your first 4 months. Special offer expires on 7/5/2017.†",0,60000,0,50,1,95,3000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/gold-delta-skymiles.png",0.012,770
"Delta","Platinum Delta SkyMiles Business Credit Card","Amex","https://www.americanexpress.com/us/small-business/credit-cards/platinum-delta-skymiles-business-credit-card/44281?linknav=us-acq-open-aj-allcards-platinumdelta-lm","LIMITED TIME OFFEREarn10,000Medallion® Qualification Miles (MQMs)and 70,000 bonus miles after you spend $5,000 in purchases on your new Card in your first 4 months.† In addition, earn a $100 statement credit after you make a Delta purchase with your new Card within your first 4 months.†Offer ends 7/05/2017.",0,70000,0,100,0,195,5000,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OPEN/AJ/ngaosbn/OAimages/amex-open/cardarts/thumbnail/flat/retina/flat-cardart-141.png?version=8",0.012,745
"Delta","Delta Reserve Credit Card from American Express","Amex","https://www.americanexpress.com/us/credit-cards/card/delta-reserve/","Earn 10,000 Medallion® Qualification Miles (MQMs)Earn 10,000 Medallion® Qualification Miles (MQMs) and 10,000 bonus miles after your first purchase on the Card.†",0,10000,0,0,0,450,0,"https://icm.aexp-static.com/Internet/Acquisition/US_en/AppContent/OneSite/category/cardarts/delta-reserve.png",0.012,-330
